id,amount,fee,target_feerate,real_feerate,algorithm,input_count,negative_effective_valued_inputs,output_count,change_amount,utxo_count_before_payment,utxo_count_after_payment,waste_score
1,310000,288,1.69625,9229.412,fifo,1,0,2,1568712,17,16,167.92871
2,10100,171,1.00625,9235.294,fifo,1,0,2,1569829,16,15,99.6188
3,329400,93,0.55125004,5529.4116,fifo,1,0,2,939907,15,14,54.5738
4,410100,63,0.37475,4673.5293,fifo,1,0,2,794437,14,13,37.10028
5,329000,195,1.15275,2841.1765,fifo,1,0,2,482805,13,12,114.12228
6,319400,516,1.6882501,1731.1111,fifo,3,0,4,529204,12,9,-963.2613
7,40100,427,2.515,1935.2941,fifo,1,0,2,328573,9,8,248.98502
8,262000,446,2.6245,1938.8235,fifo,1,0,2,329154,8,7,259.8255
9,100000,447,2.63475,1949.4117,fifo,1,0,2,330953,7,6,260.84024
10,650000,383,1.6120001,2766.3865,fifo,2,0,3,658017,7,5,-410.79593
11,14000,429,2.52575,1937.6471,fifo,1,0,2,328971,5,4,250.04926
12,310000,90,0.52975,1937.6471,fifo,1,0,2,329310,11,10,52.44526
13,10100,287,1.691,1949.4117,fifo,1,0,2,331113,11,10,167.40897
14,113200,227,1.3355,1937.6471,fifo,1,0,2,329173,10,9,132.21446
15,10200,131,0.55375,4285.7144,fifo,2,0,3,1019869,9,7,-587.5237
16,400000,545,3.20775,5882.353,fifo,1,0,2,999455,13,12,317.56726
17,100000,487,2.87025,14705.883,fifo,1,0,2,2499513,12,11,284.15472
18,300000,1026,6.04,5764.706,fifo,1,0,2,978974,13,12,597.96
19,665800,2136,6.9835,4705.8823,fifo,3,0,4,1437864,12,9,281.12247
20,110000,1500,6.3055,503.62604,fifo,2,0,3,118363,9,7,373.0185
21,90000,866,5.09725,607.05884,fifo,1,0,2,102334,7,6,504.62775
22,110000,1694,4.5305,535.5615,fifo,4,2,5,198606,6,2,-667.2585
23,209300,,6.315,,failed,,,,,2,2,
24,332600,,4.7515,,failed,,,,,2,2,
25,424600,,3.7074997,,failed,,,,,2,2,
26,333000,,4.2269998,,failed,,,,,2,2,
27,200000,,4.6445,,failed,,,,,2,2,
28,337500,,4.202,,failed,,,,,2,2,
29,300000,,4.13275,,failed,,,,,2,2,
30,294600,,4.1687503,,failed,,,,,2,2,
31,332500,,6.3719997,,failed,,,,,3,3,
32,332500,,6.0394998,,failed,,,,,3,3,
33,330000,,4.7725,,failed,,,,,3,3,
34,336300,,3.11225,,failed,,,,,3,3,
35,333400,2091,5.5917497,3334.1604,fifo,4,0,5,1244885,6,2,-345.69983
36,30000,785,4.61775,1764.7059,fifo,1,0,2,299215,2,1,457.1573
37,300100,527,3.10375,7647.0586,fifo,1,0,2,1299473,1,0,307.27127
38,332900,,0.80525,,failed,,,,,1,1,
39,332700,,1.35825,,failed,,,,,1,1,
40,332700,,2.782,,failed,,,,,1,1,
41,322700,,5.2669997,,failed,,,,,1,1,
42,332000,,2.52875,,failed,,,,,1,1,
43,198400,134,0.56700003,1344.5378,fifo,2,0,3,319866,2,0,-585.3109
44,322000,,1.178,,failed,,,,,0,0,
45,505500,1322,7.7769995,20798.783,fifo,1,0,2,3534471,2,1,769.9229
46,105000,,9.768,,failed,,,,,2,2,
47,20000,2112,8.87725,191.84874,fifo,2,0,3,43548,2,0,802.50073
48,86900,,9.882,,failed,,,,,0,0,
49,20400,3412,20.07525,452.35294,fifo,1,0,2,73488,1,0,1987.4498
50,322600,,24.8425,,failed,,,,,0,0,
51,334300,,23.50375,,failed,,,,,0,0,
52,668000,,23.0995,,failed,,,,,0,0,
53,332500,,24.334,,failed,,,,,0,0,
54,332500,,24.1445,,failed,,,,,0,0,
55,332500,,23.17325,,failed,,,,,0,0,
56,332500,,23.52725,,failed,,,,,0,0,
57,300000,,20.87825,,failed,,,,,0,0,
58,332700,,22.67925,,failed,,,,,0,0,
59,332500,,12.88325,,failed,,,,,0,0,
60,300000,,7.3230004,,failed,,,,,0,0,
61,332700,,8.37975,,failed,,,,,0,0,
62,332700,,9.832251,,failed,,,,,0,0,
63,332800,,12.627,,failed,,,,,0,0,
64,332900,,12.6805,,failed,,,,,0,0,
65,333000,,13.71175,,failed,,,,,0,0,
66,332500,,12.50775,,failed,,,,,0,0,
67,332500,,12.738251,,failed,,,,,0,0,
68,333500,,11.2625,,failed,,,,,0,0,
69,332500,,15.951251,,failed,,,,,0,0,
70,332500,,23.210001,,failed,,,,,0,0,
71,300000,,22.28575,,failed,,,,,0,0,
72,321200,,15.893,,failed,,,,,0,0,
73,200000,,9.148,,failed,,,,,1,1,
74,320000,,8.9185,,failed,,,,,1,1,
75,332500,,11.68975,,failed,,,,,1,1,
76,330000,,10.99425,,failed,,,,,1,1,
77,339300,,9.8835,,failed,,,,,1,1,
78,332700,,11.65575,,failed,,,,,1,1,
79,334100,,12.913,,failed,,,,,1,1,
80,332700,,10.60475,,failed,,,,,1,1,
81,332900,3284,13.799001,4243.6973,fifo,2,0,3,1006716,2,0,1624.4331
82,932800,,19.262001,,failed,,,,,0,0,
83,333000,3885,22.858,10082.353,fifo,1,0,2,1710115,1,0,2262.942
84,332500,,25.772001,,failed,,,,,0,0,
85,332500,,23.2115,,failed,,,,,0,0,
86,300000,,19.59675,,failed,,,,,0,0,
87,2047700,,19.6935,,failed,,,,,0,0,
88,172200,,28.862251,,failed,,,,,0,0,
89,265000,6093,35.84525,17647.059,fifo,1,0,2,2993907,1,0,3548.6797
90,333000,,32.007248,,failed,,,,,0,0,
91,332500,,29.543749,,failed,,,,,0,0,
92,1500000,,33.65775,,failed,,,,,1,1,
93,100000,5068,29.81475,684.6294,fifo,1,0,2,111319,1,0,2951.6604
94,1000000,,29.85,,failed,,,,,0,0,
95,200000,4507,26.5165,10470.588,fifo,1,0,2,1775493,3,2,2625.1335
96,200000,5071,29.8325,2823.5293,fifo,1,0,2,474929,2,1,2953.4175
97,200000,8103,47.666,1764.7059,fifo,1,0,2,291897,4,3,4718.934
98,100000,13899,45.42175,5215.9478,fifo,3,0,4,1582181,3,0,9314.111
99,1500000,,21.634,,failed,,,,,3,3,
100,200000,3941,16.5605,2287.0505,fifo,2,0,3,540377,3,1,2085.6035
101,200000,,15.6215,,failed,,,,,1,1,
102,457300,,15.6115,,failed,,,,,1,1,
103,200000,4365,18.34075,1974.7899,fifo,2,0,3,465635,11,9,2382.9053
104,300000,3887,22.8655,2823.5293,fifo,1,0,2,476113,11,10,2263.6846
105,100000,5583,32.84325,2823.5293,fifo,1,0,2,474417,14,13,3251.482
106,300000,7420,31.177498,1596.6387,fifo,2,0,3,372580,13,11,4526.642
107,152800,5088,21.38,872.7815,fifo,2,0,3,202634,12,10,2890.46
108,210000,2649,15.5842495,20588.234,fifo,1,0,2,3497351,14,13,1542.8407
109,100000,2346,13.804001,2941.1765,fifo,1,0,2,497654,16,15,1366.5961
110,492000,2078,12.22625,2941.1765,fifo,1,0,2,497922,17,16,1210.3987
111,110000,2583,10.85325,2058.8235,fifo,2,0,3,487417,18,16,1132.4927
